transaction_id,price,date_of_transfer,postcode,property_type,new_build,tenure,address,locality,town_city,district,county,ppd_category_type,record_status
{288DCE29-1632-E510-E050-A8C06205480E},210000,2015-12-11 00:00,M41 5QL,T,N,F,26,,DELAMERE ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{23B6165E-8BBF-FCF4-E050-A8C0620577FA},234000,2015-09-29 00:00,M41 0SA,T,N,L,1,,TIVERTON ROAD,URMSTON,MANCHESTER,MANCHESTER,GREATER MANCHESTER
{288DCE29-1656-E510-E050-A8C06205480E},110000,2015-11-12 00:00,M41 0YG,F,N,L,HANDFORD HOUSE,FLAT 6,CAVENDISH ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{23B6165E-8BE8-FCF4-E050-A8C0620577FA},230000,2015-09-16 00:00,M41 6HP,S,N,L,2,,BRAEMAR AVENUE,URMSTON,MANCHESTER,MANCHESTER,GREATER MANCHESTER
{288DCE29-1664-E510-E050-A8C06205480E},175250,2015-12-11 00:00,M41 7WA,S,N,F,39,,BARTON ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-167A-E510-E050-A8C06205480E},230000,2015-12-11 00:00,M41 6EF,S,N,F,81,,SNOWDEN AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{23B6165E-8BEE-FCF4-E050-A8C0620577FA},200000,2015-10-02 00:00,M41 0RG,S,N,L,124,,WESTMINSTER ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{23B6165E-8BFE-FCF4-E050-A8C0620577FA},275000,2015-10-02 00:00,M41 8GD,S,N,L,1,,LOWOOD AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{23B6165E-884B-FCF4-E050-A8C0620577FA},185000,2015-09-18 00:00,M41 5DS,S,N,F,6,,CHASSEN AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{23B6165E-8855-FCF4-E050-A8C0620577FA},160000,2015-08-14 00:00,M41 9PJ,T,N,F,10,,FIRWOOD AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{23B6165E-8857-FCF4-E050-A8C0620577FA},137000,2015-10-02 00:00,M41 7AB,F,N,L,57,FLAT 1,OLD CROFTS BANK,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{EF7D65C8-0AD1-4784-8BF3-A5955C50B1A9},200000,2015-08-03 00:00,M41 6WG,S,N,L,16,,COMPTON CLOSE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{07A8BA66-26F4-4167-80C2-A5AE1981A0B1},205000,2015-05-15 00:00,M41 6QU,S,N,F,21,,LANSDOWNE ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{025E58DD-9DA1-4DB2-B197-4BE935748806},140000,2015-04-02 00:00,M41 7ER,T,N,F,15,,STROMA GARDENS,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{AA52942F-4427-42A8-8F8A-B0578FD82BE9},187999,2015-07-31 00:00,M41 7AX,S,N,F,32,,CANTERBURY ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{8D7294A0-FC40-4357-BE06-B3E6EA71B777},165000,2015-07-24 00:00,M41 9AQ,S,N,F,4,,CENTRAL DRIVE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
